date,x1,x2,x3,x4,x5,mega,mult
190521,10,50,55,56,58,15,5
190517,5,17,28,32,63,11,3
190514,11,59,66,67,68,18,4
190510,3,16,21,61,62,19,2
190507,3,6,34,54,63,19,3
190503,8,16,22,66,68,11,2
190430,24,37,41,61,70,20,3
190426,9,17,23,30,46,10,4
190423,7,24,30,48,67,9,4
190419,18,25,43,44,57,25,4
190416,11,29,34,48,54,10,2
190412,1,24,25,40,70,4,2
190409,11,22,34,44,58,9,2
190405,8,22,24,38,64,21,2
190402,33,47,58,59,64,25,3
190329,5,14,15,62,66,3,3
190326,4,14,22,43,58,9,3
190322,7,36,58,60,62,10,3
190319,10,42,53,67,68,15,3
190315,3,29,56,62,64,4,3
190312,10,12,16,49,57,18,4
190308,4,9,42,62,68,7,4
190305,15,20,32,37,52,6,3
190301,29,33,39,60,66,21,2
190226,10,12,14,24,60,20,3
190222,18,24,31,34,55,4,4
190219,17,24,34,56,65,3,2
190215,10,38,40,43,65,12,2
190212,15,32,39,50,65,7,3
190208,14,24,31,42,48,13,3
190205,3,34,36,59,66,7,2
190201,2,37,48,66,68,11,5
190129,10,33,53,54,62,22,2
190125,8,16,30,38,61,10,2
190122,4,15,37,59,64,16,5
190118,2,43,48,62,64,24,3
190115,29,52,58,60,62,7,2
190111,4,5,31,62,69,20,3
190108,13,26,29,38,64,5,5
190104,21,29,35,54,60,15,4
190101,34,44,57,62,70,14,4
181228,9,10,25,37,38,21,2
181225,2,8,42,43,50,6,3
181221,10,13,61,62,70,5,3
181218,13,22,32,60,69,9,3
181214,5,22,26,43,49,23,4
181211,4,38,39,54,59,12,2
181207,4,10,20,33,57,13,3
181204,28,31,41,42,50,4,3
181130,25,28,40,43,63,19,3
181127,12,24,37,42,57,18,4
181123,7,10,30,33,59,23,4
181120,10,16,31,42,66,10,3
181116,33,36,63,68,69,16,3
181113,34,46,57,65,69,11,3
181109,8,14,27,57,67,5,4
181106,28,34,37,56,69,12,2
181102,3,23,28,46,62,16,2
