date,x1,x2,x3,x4,x5,mega,mult,index
200529,10,13,32,41,51,3,2,270
200526,34,52,58,59,62,4,3,269
200522,8,10,20,44,46,18,4,268
200519,8,19,25,36,66,9,2,267
200515,11,17,32,33,46,25,3,266
200512,7,16,27,44,52,5,5,265
200508,5,20,22,61,70,4,2,264
200505,7,13,17,21,45,14,2,263
200501,28,30,31,35,66,14,2,262
200428,13,19,53,54,63,17,3,261
200424,1,27,32,60,67,18,2,260
200421,13,15,24,67,70,17,2,259
200417,13,35,39,46,55,14,4,258
200414,29,47,65,69,70,7,4,257
200410,2,11,21,57,60,13,2,256
200407,25,33,43,51,68,20,2,255
200403,24,38,44,57,58,17,4,254
200331,8,17,51,57,70,2,4,253
200327,3,25,28,50,60,1,4,252
200324,2,8,16,18,31,14,2,251
200320,34,35,41,45,54,5,4,250
200317,20,27,28,58,59,25,3,249
200313,7,22,37,43,44,22,4,248
200310,6,17,48,54,69,12,5,247
200306,15,48,56,58,70,4,4,246
200303,8,12,33,56,64,2,2,245
200228,2,3,14,41,64,17,2,244
200225,2,9,43,49,63,15,2,243
200221,4,7,13,16,60,6,4,242
200218,6,12,39,61,70,4,3,241
200214,10,32,48,54,55,18,5,240
200211,4,6,32,52,64,6,2,239
200207,9,14,27,36,52,4,3,238
200204,32,48,50,51,64,10,2,237
200131,28,31,33,57,62,19,2,236
200128,17,36,47,51,62,21,3,235
200124,3,4,18,23,38,24,4,234
200121,16,18,29,31,37,8,3,233
200117,3,25,30,54,70,9,3,232
200114,9,11,13,31,47,11,2,231
200110,17,27,49,51,66,2,2,230
200107,25,40,41,52,56,21,4,229
200103,37,41,42,53,63,16,2,228
191231,30,44,49,53,56,11,3,227
191227,17,34,40,63,64,24,4,226
191224,27,37,48,63,66,11,2,225
191220,3,20,23,35,60,16,3,224
191217,22,30,53,55,56,16,2,223
191213,17,21,29,39,56,22,3,222
191210,18,31,46,54,61,25,2,221
191206,20,31,40,46,61,20,5,220
191203,23,43,60,63,69,19,2,219
191129,6,8,31,50,65,9,2,218
191126,8,27,29,38,43,13,2,217
191122,7,12,17,49,53,24,4,216
191119,22,43,44,47,66,22,3,215
191115,12,19,34,35,68,20,2,214
191112,19,30,44,56,65,24,2,213
191108,3,4,10,39,58,14,3,212
191105,2,9,24,49,54,19,3,211
191101,9,20,36,41,54,22,2,210
191029,4,9,17,27,39,22,2,209
191025,16,24,25,52,60,6,3,208
191022,5,11,14,23,25,10,4,207
191018,18,58,60,65,67,20,3,206
191015,4,12,14,35,70,2,2,205
191011,14,22,30,37,60,8,3,204
191008,5,8,10,17,48,23,3,203
191004,11,38,44,48,70,17,2,202
191001,10,17,39,42,59,3,2,201
190927,12,20,31,43,45,20,3,200
190924,6,14,24,42,46,9,4,199
190920,23,24,42,48,53,22,2,198
190917,12,15,30,50,65,1,4,197
190913,6,16,37,59,62,5,2,196
190910,34,47,48,50,55,24,2,195
190906,4,11,13,19,31,10,4,194
190903,13,20,27,61,62,5,2,193
190830,3,9,11,34,39,10,4,192
190827,8,12,23,39,43,6,2,191
190823,11,15,37,54,68,21,2,190
190820,8,14,25,51,63,4,3,189
190816,4,14,24,26,46,14,2,188
190813,7,27,31,34,51,5,3,187
190809,15,53,56,59,63,1,2,186
190806,11,17,31,43,55,16,2,185
190802,11,20,26,48,70,19,2,184
190730,10,24,28,33,38,6,3,183
190726,4,6,11,43,48,11,3,182
190723,1,4,23,40,45,11,2,181
190719,16,18,28,33,67,14,3,180
190716,8,16,31,48,52,23,3,179
190712,8,25,38,56,59,7,2,178
190709,12,26,40,48,64,1,2,177
190705,6,38,47,57,63,12,2,176
190702,3,25,37,40,55,13,2,175
190628,2,35,49,53,63,1,2,174
190625,24,33,45,47,61,17,3,173
190621,13,30,36,48,62,18,3,172
190618,12,14,22,24,48,21,2,171
190614,19,40,47,57,65,6,2,170
190611,20,34,39,43,57,13,3,169
190607,17,19,27,40,68,2,3,168
190604,25,37,46,48,68,25,2,167
190531,7,8,26,65,67,4,3,166
190528,9,21,34,42,50,21,2,165
190524,14,41,44,56,62,10,2,164
190521,10,50,55,56,58,15,5,163
190517,5,17,28,32,63,11,3,162
190514,11,59,66,67,68,18,4,161
190510,3,16,21,61,62,19,2,160
190507,3,6,34,54,63,19,3,159
190503,8,16,22,66,68,11,2,158
190430,24,37,41,61,70,20,3,157
190426,9,17,23,30,46,10,4,156
190423,7,24,30,48,67,9,4,155
190419,18,25,43,44,57,25,4,154
190416,11,29,34,48,54,10,2,153
190412,1,24,25,40,70,4,2,152
190409,11,22,34,44,58,9,2,151
190405,8,22,24,38,64,21,2,150
190402,33,47,58,59,64,25,3,149
190329,5,14,15,62,66,3,3,148
190326,4,14,22,43,58,9,3,147
190322,7,36,58,60,62,10,3,146
190319,10,42,53,67,68,15,3,145
190315,3,29,56,62,64,4,3,144
190312,10,12,16,49,57,18,4,143
190308,4,9,42,62,68,7,4,142
190305,15,20,32,37,52,6,3,141
190301,29,33,39,60,66,21,2,140
190226,10,12,14,24,60,20,3,139
190222,18,24,31,34,55,4,4,138
190219,17,24,34,56,65,3,2,137
190215,10,38,40,43,65,12,2,136
190212,15,32,39,50,65,7,3,135
190208,14,24,31,42,48,13,3,134
190205,3,34,36,59,66,7,2,133
190201,2,37,48,66,68,11,5,132
190129,10,33,53,54,62,22,2,131
190125,8,16,30,38,61,10,2,130
190122,4,15,37,59,64,16,5,129
190118,2,43,48,62,64,24,3,128
190115,29,52,58,60,62,7,2,127
190111,4,5,31,62,69,20,3,126
190108,13,26,29,38,64,5,5,125
190104,21,29,35,54,60,15,4,124
190101,34,44,57,62,70,14,4,123
181228,9,10,25,37,38,21,2,122
181225,2,8,42,43,50,6,3,121
181221,10,13,61,62,70,5,3,120
181218,13,22,32,60,69,9,3,119
181214,5,22,26,43,49,23,4,118
181211,4,38,39,54,59,12,2,117
181207,4,10,20,33,57,13,3,116
181204,28,31,41,42,50,4,3,115
181130,25,28,40,43,63,19,3,114
181127,12,24,37,42,57,18,4,113
181123,7,10,30,33,59,23,4,112
181120,10,16,31,42,66,10,3,111
181116,33,36,63,68,69,16,3,110
181113,34,46,57,65,69,11,3,109
181109,8,14,27,57,67,5,4,108
181106,28,34,37,56,69,12,2,107
181102,3,23,28,46,62,16,2,106
181030,20,31,39,46,49,23,2,105
181026,1,28,61,62,63,5,4,104
181023,5,28,62,65,70,5,3,103
181019,15,23,53,65,70,7,2,102
181016,3,45,49,61,69,9,5,101
181012,4,24,46,61,70,7,3,100
181009,20,22,39,54,60,18,3,99
181005,27,28,32,41,69,12,2,98
181002,2,22,29,31,34,1,3,97
180928,39,45,52,56,59,15,3,96
180925,8,16,32,48,61,12,2,95
180921,1,2,11,52,64,9,4,94
180918,31,32,43,63,68,17,2,93
180914,23,30,40,43,66,13,4,92
180911,15,30,51,62,67,19,2,91
180907,8,10,41,54,68,10,2,90
180904,2,7,25,35,44,3,3,89
180831,7,18,29,32,45,17,3,88
180828,3,20,33,34,41,20,3,87
180824,1,6,13,18,49,8,2,86
